Category,Control,Mod
EC2,AWS EC2 launch templates should not assign public IPs to network interfaces,Compliance
EC2,Ensure unused ENIs are removed,Compliance
EC2,EC2 stopped instances should be removed in 30 days,Compliance
EC2,Ensure instances stopped for over 90 days are removed,Compliance
EC2,EC2 transit gateways should have auto accept shared attachments disabled,Compliance
S3,S3 access points should have block public access settings enabled,Compliance
S3,S3 buckets access control lists (ACLs) should not be used to manage user access to buckets,Compliance
S3,S3 bucket cross-region replication should be enabled,Compliance
S3,S3 bucket default encryption should be enabled,Compliance
S3,S3 bucket default encryption should be enabled with KMS,Compliance
S3,S3 buckets should enforce SSL,Compliance
S3,S3 buckets should have event notifications enabled,Compliance
S3,S3 buckets should have lifecycle policies configured,Compliance
S3,S3 bucket logging should be enabled,Compliance
S3,Ensure MFA Delete is enabled on S3 buckets,Compliance
S3,S3 bucket ACLs should not be accessible to all authenticated user,Compliance
S3,S3 bucket object lock should be enabled,Compliance
S3,S3 buckets object logging should be enabled,Compliance
S3,S3 bucket policy should prohibit public access,Compliance
S3,AWS S3 permissions granted to other AWS accounts in bucket policies should be restricted,Compliance
S3,Ensure all data in AWS S3 has been discovered, classified and secured when required,Compliance
S3,S3 buckets should prohibit public read access,Compliance
S3,S3 buckets should prohibit public write access,Compliance
S3,S3 buckets static website hosting should be disabled,Compliance
S3,S3 buckets with versioning enabled should have lifecycle policies configured,Compliance
S3,S3 bucket versioning should be enabled,Compliance
S3,S3 public access should be blocked at account level,Compliance
S3,S3 public access should be blocked at bucket levels,Compliance
S3,S3 public access should be blocked at account and bucket levels,Compliance
IAM,Ensure that IAM Access analyzer is enabled for all regions,Compliance
IAM,IAM Access analyzer should be enabled without findings,Compliance
IAM,Ensure IAM password policy requires a minimum length of 14 or greater,Compliance
IAM,Ensure IAM password policy requires at least one lowercase letter,Compliance
IAM,Ensure IAM password policy requires at least one number,Compliance
IAM,Ensure IAM password policy requires at least one symbol,Compliance
IAM,Ensure IAM password policy requires at least one uppercase letter,Compliance
IAM,Ensure IAM password policy prevents password reuse,Compliance
IAM,Password policies for IAM users should have strong configurations with minimum length of 8 or greater,Compliance
IAM,IAM password policies for users should have strong configurations,Compliance
IAM,Ensure IAM policy should not grant full access to service,Compliance
IAM,IAM unattached custom policy should not have statements with admin access,Compliance
IAM,IAM groups should have at least one user,Compliance
IAM,IAM groups, users, and roles should not have any inline policies,Compliance
IAM,IAM inline policy should not have administrative privileges,Compliance
IAM,IAM AWS managed policies should be attached to IAM role,Compliance
IAM,Ensure IAM password policy expires passwords within 90 days or less,Compliance
IAM,Ensure IAM policies that allow full "*:*" administrative privileges are not attached,Compliance
IAM,IAM policies should not allow full '*' administrative privileges,Compliance
IAM,IAM roles should not have any assume role policies attached,Compliance
IAM,Ensure managed IAM policies should not allow blocked actions on KMS keys,Compliance
IAM,IAM custom policy should not have overly permissive STS role assumption,Compliance
IAM,Ensure inline policies attached to IAM users, roles, and groups should not allow blocked actions on KMS keys,Compliance
IAM,IAM policy should not grant full access to cloudtrail service,Compliance
IAM,IAM policy should not grant full access to KMS service,Compliance
IAM,IAM policy should not have statements with admin access,Compliance
IAM,IAM policy should be in use,Compliance
IAM,IAM roles should not have read only access for external AWS accounts,Compliance
IAM,Ensure IAM role not attached with Administratoraccess policy,Compliance
IAM,IAM roles that have not been used in 60 days should be removed,Compliance
IAM,Eliminate use of the 'root' user for administrative and daily tasks,Compliance
IAM,IAM root user hardware MFA should be enabled,Compliance
IAM,IAM root user MFA should be enabled,Compliance
IAM,IAM root user should not have access keys,Compliance
IAM,IAM Security Audit role should be created to conduct security audits,Compliance
IAM,Ensure that all the expired SSL/TLS certificates stored in AWS IAM are removed,Compliance
IAM,Ensure a support role has been created to manage incidents with AWS Support,Compliance
IAM,IAM user access keys should be rotated at least every 90 days,Compliance
IAM,Ensure IAM users with access keys unused for 45 days or greater are disabled,Compliance
IAM,Ensure IAM users are assigned access keys and passwords at setup,Compliance
IAM,IAM users with console access should have MFA enabled,Compliance
IAM,Ensure IAM users with console access unused for 45 days or greater are disabled,Compliance
IAM,Ensure access to AWSCloudShellFullAccess is restricted,Compliance
IAM,IAM users should have hardware MFA enabled,Compliance
IAM,IAM users should be in at least one group,Compliance
IAM,IAM user MFA should be enabled,Compliance
IAM,IAM user should not have any inline or attached policies,Compliance
IAM,Ensure IAM policies are attached only to groups or roles,Compliance
IAM,Ensure there is only one active access key available for any single IAM user,Compliance
IAM,Ensure credentials unused for 45 days or greater are disabled,Compliance
IAM,IAM user credentials that have not been used in 90 days should be disabled,Compliance
IAM,IAM administrator users should have MFA enabled,Compliance
VPC,VPC should be configured to use VPC endpoints,Compliance
VPC,VPC default security group should not allow inbound and outbound traffic,Compliance
VPC,VPC EIPs should be associated with an EC2 instance or ENI,Compliance
VPC,VPC endpoint services should have acceptance required enabled,Compliance
VPC,VPC flow logs should be enabled,Compliance
VPC,VPC gateway endpoints should restrict public access,Compliance
VPC,VPC internet gateways should be attached to authorized vpc,Compliance
VPC,VPCs should exist in multiple regions,Compliance
VPC,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389,Compliance
VPC,VPC network access control lists (network ACLs) should be associated with a subnet.,Compliance
VPC,VPCs should be in use,Compliance
VPC,VPCs peering connection should not be allowed in cross account,Compliance
VPC,VPCs peering connection route tables should have least privilege,Compliance
VPC,VPC route table should restrict public access to IGW,Compliance
VPC,VPC Security groups should only allow unrestricted incoming traffic for authorized ports,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to cassandra ports 7199 or 9160 or 8888,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to memcached port 11211,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to mongoDB ports 27017 and 27018,Compliance
VPC,VPC security groups should restrict ingress from 0.0.0.0/0 or ::/0 to oracle ports 1521 or 2483,Compliance
VPC,VPC security groups should be associated with at least one ENI,Compliance
VPC,VPC security groups should restrict uses of 'launch-wizard' security groups.,Compliance
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports,Compliance
VPC,Ensure no security groups allow ingress from ::/0 to remote server administration ports,Compliance
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports,Compliance
VPC,VPC security groups should restrict ingress access on ports 20, 21, 22, 3306, 3389, 4333 from 0.0.0.0/0,Compliance
VPC,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0,Compliance
VPC,VPC security groups should restrict ingress kibana port access from 0.0.0.0/0,Compliance
VPC,Ensure no security groups allow ingress from 0.0.0.0/0 to port 3389,Compliance
VPC,VPC security groups should restrict ingress redis access from 0.0.0.0/0,Compliance
VPC,VPC security groups should restrict ingress SSH access from 0.0.0.0/0,Compliance
VPC,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0,Compliance
VPC,Security groups should not allow unrestricted access to ports with high risk,Compliance
VPC,Unused EC2 security groups should be removed,Compliance
VPC,VPC subnet auto assign public IP should be disabled,Compliance
VPC,VPCs subnets should exist in multiple availability zones,Compliance
VPC,VPCs should have both public and private subnets configured,Compliance
VPC,Both VPN tunnels provided by AWS Site-to-Site,
,,Compliance
EBS,Attached EBS volumes should have delete on termination enabled,Compliance
EBS,Attached EBS volumes should have encryption enabled,Compliance
EBS,EBS snapshots should be encrypted,Compliance
EBS,EBS snapshots should not be publicly restorable,Compliance
EBS,EBS volume encryption at rest should be enabled,Compliance
EBS,EBS volumes should be in a backup plan,Compliance
EBS,EBS volumes should be protected by a backup plan,Compliance
EBS,EBS volume snapshots should exist,Compliance
EBS,EBS volumes should be attached to EC2 instances,Compliance
,,
DynamoDB,DynamoDB table auto scaling should be enabled,Compliance
DynamoDB,DynamoDB table should have deletion protection enabled,Compliance
DynamoDB,DynamoDB table should be encrypted with AWS KMS,Compliance
DynamoDB,DynamoDB table should have encryption enabled,Compliance
DynamoDB,DynamoDB tables should be in a backup plan,Compliance
DynamoDB,DynamoDB table point-in-time recovery should be enabled,Compliance
DynamoDB,DynamoDB table should be protected by backup plan,
,,Compliance
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,Compliance
Auto Scaling,Auto Scaling groups should not have any suspended processes,Compliance
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,Compliance
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,Compliance
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,Compliance
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,Compliance
Auto Scaling,Auto Scaling launch config public IP should be disabled,Compliance
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),Compliance
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,Compliance
,,
ACM,ACM certificates should not expire within 30 days,Compliance
ACM,Ensure that ACM certificates are not in failed state,Compliance
ACM,Ensure that ACM certificates are not in pending validation state,Compliance
ACM,ACM certificates should not use wildcard certificates,Compliance
ACM,Ensure that all the expired ACM certificates are removed,Compliance
ACM,RSA certificates managed by ACM should use a key length of at least 2,048 bits,Compliance
ACM,ACM certificates should have transparency logging enabled,
,,Compliance
API Gateway,API Gateway methods authorizer should be configured,Compliance
API Gateway,API Gateway methods request parameter should be validated,Compliance
API Gateway,API Gateway REST API public endpoints should be configured with authorizer,Compliance
API Gateway,API Gateway routes should specify an authorization type,Compliance
API Gateway,API Gateway V2 authorizer should be configured,Compliance
API Gateway,API Gateway stages should have authorizers configured,Compliance
API Gateway,API Gateway REST API endpoint type should be configured to private,Compliance
API Gateway,API Gateway stage should uses SSL certificate,Compliance
API Gateway,API Gateway REST API stages should have AWS X-Ray tracing enabled,Compliance
API Gateway,API Gateway stage cache encryption at rest should be enabled,Compliance
API Gateway,API Gateway stage logging should be enabled,Compliance
API Gateway,API Gateway stage should be associated with waf,Compliance
API Gateway,Access logging should be configured for API Gateway V2 Stages,
,,Compliance
ELB,Classic Load Balancers should have connection draining enabled,Compliance
ELB,ELB application and classic load balancer logging should be enabled,Compliance
ELB,ELB load balancers should prohibit public access,Compliance
ELB,ELB application, network, and gateway load balancers should span multiple availability zones,Compliance
ELB,ELB application load balancer deletion protection should be enabled,Compliance
ELB,ELB application load balancers should be configured with defensive or strictest desync mitigation mode,Compliance
ELB,ELB application load balancers should be drop HTTP headers,Compliance
ELB,ELB application load balancers secured listener certificate should not expire within next 30 days,Compliance
ELB,ELB application load balancers secured listener certificate should not expire within next 7 days,Compliance
ELB,ELB application load balancers should redirect HTTP requests to HTTPS,Compliance
ELB,ELB application load balancers should have Web Application Firewall (WAF) enabled,Compliance
ELB,ELB application load balancers should have at least one outbound rule,Compliance
ELB,ELB application and network load balancers should use listeners,Compliance
ELB,ELB application and network load balancers should only use SSL or HTTPS listeners,Compliance
ELB,ELB classic load balancers should have cross-zone load balancing enabled,Compliance
ELB,ELB classic load balancers should be configured with defensive or strictest desync mitigation mode,Compliance
ELB,ELB classic load balancers should span multiple availability zones,Compliance
ELB,ELB classic load balancers should have at least one registered instance,Compliance
ELB,ELB classic load balancers should use SSL certificates,Compliance
ELB,ELB classic load balancers should only use SSL or HTTPS listeners,Compliance
ELB,ELB classic load balancers should have at least one inbound rule,Compliance
ELB,ELB classic load balancers should have at least one outbound rule,Compliance
ELB,ELB listeners should use secure SSL cipher,Compliance
ELB,ELB network load balancers should have TLS listener security policy configured,Compliance
ELB,ELB listeners SSL/TLS protocol version should be checked,Compliance
,,
ECR,ECR repositories should have image scan on push enabled,Compliance
ECR,ECR repositories should have lifecycle policies configured,Compliance
ECR,ECR repositories should prohibit public access,Compliance
ECR,ECR private repositories should have tag immutability configured,Compliance
,,
ECS,ECS clusters should have container insights enabled,Compliance
ECS,ECS cluster container instances should have connected agent,Compliance
ECS,ECS clusters encryption at rest should be enabled,Compliance
ECS,ECS cluster instances should be in a VPC,Compliance
ECS,ECS cluster should be configured with active services,Compliance
ECS,At least one instance should be registered with ECS cluster,Compliance
ECS,ECS fargate services should run on the latest fargate platform version,Compliance
ECS,ECS services should be attached to a load balancer,Compliance
ECS,AWS ECS services should not have public IP addresses assigned to them automatically,Compliance
ECS,ECS task definition containers should not have secrets passed as environment variables,Compliance
ECS,ECS containers should run as non-privileged,Compliance
ECS,ECS containers should be limited to read-only access to root filesystems,Compliance
ECS,ECS task definitions should have logging enabled,Compliance
ECS,ECS task definitions should not share the host's process namespace,Compliance
ECS,ECS task definitions should not use root user.,Compliance
ECS,ECS task definition container definitions should be checked for host mode,Compliance
,,
EFS,EFS access points should enforce a root directory,Compliance
EFS,EFS access points should enforce a user identity,Compliance
EFS,EFS file system encryption at rest should be enabled,Compliance
EFS,EFS file systems should be encrypted with CMK,Compliance
EFS,EFS file systems should enforce SSL,Compliance
EFS,EFS file systems should be in a backup plan,Compliance
EFS,EFS file systems should be protected by backup plan,Compliance
EFS,EFS file systems should restrict public access,Compliance
,,Compliance
EKS,EKS clusters should have control plane audit logging enabled,Compliance
EKS,EKS clusters endpoint public access should be restricted,Compliance
EKS,EKS clusters endpoint should restrict public access,Compliance
EKS,EKS clusters should not be configured within a default VPC,Compliance
EKS,EKS clusters should not use multiple security groups,Compliance
EKS,EKS clusters should be configured to have kubernetes secrets encrypted using KMS,Compliance
EKS,EKS clusters should run on a supported Kubernetes version,
,,Compliance
ElastiCache,Minor version upgrades should be automatically applied to ElastiCache for Redis cache clusters,Compliance
ElastiCache,ElastiCache clusters should not use the default subnet group,Compliance
ElastiCache,ElastiCache clusters should not use public_subnet,Compliance
ElastiCache,ElastiCache Redis cluster automatic backup should be enabled with retention period of 15 days or greater,Compliance
ElastiCache,ElastiCache for Redis replication groups should have automatic failover enabled,Compliance
ElastiCache,ElastiCache for Redis replication groups should be encrypted at rest,Compliance
ElastiCache,ElastiCache for Redis replication groups should be encrypted with CMK,Compliance
ElastiCache,ElastiCache for Redis replication groups should be encrypted in transit,Compliance
ElastiCache,ElastiCache for Redis replication groups before version 6.0 should use Redis Auth,Compliance
ElastiCache,Elastic Beanstalk,Compliance
ElastiCache,Elastic Beanstalk enhanced health reporting should be enabled,Compliance
ElastiCache,Elastic Beanstalk should stream logs to CloudWatch,Compliance
ElastiCache,Elastic Beanstalk environment should have managed updates enabled,Compliance
,,
ACM,ACM certificates should not expire within 30 days,Compliance
ACM,Ensure that ACM certificates are not in failed state,Compliance
ACM,Ensure that ACM certificates are not in pending validation state,Compliance
ACM,ACM certificates should not use wildcard certificates,Compliance
ACM,Ensure that all the expired ACM certificates are removed,Compliance
ACM,RSA certificates managed by ACM should use a key length of at least 2,048 bits,Compliance
ACM,ACM certificates should have transparency logging enabled,Compliance
,,
AppStream,AppStream fleet default internet access should be disabled,Compliance
AppStream,AppStream fleet idle disconnect timeout should be set to less than or equal to 10 mins,Compliance
AppStream,AppStream fleet max user duration should be set to less than 10 hours,Compliance
AppStream,AppStream fleet session disconnect timeout should be set to less than or equal to 5 mins,
,,Compliance
AppSync,AppSync graphql API logging should be enabled,
,,Compliance
Athena,Athena workgroups should be encrypted at rest,Compliance
Athena,Athena workgroups should enforce configuration,
,,Compliance
Auto Scaling,EC2 auto scaling group launch configurations user data should not have any sensitive data,Compliance
Auto Scaling,EC2 auto scaling groups should cover multiple availability zones,Compliance
Auto Scaling,Auto Scaling groups should not have any suspended processes,Compliance
Auto Scaling,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches,Compliance
Auto Scaling,EC2 Auto Scaling groups should use EC2 launch templates,Compliance
Auto Scaling,Auto Scaling groups with a load balancer should use health checks,Compliance
Auto Scaling,EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1,Compliance
Auto Scaling,Auto Scaling launch config public IP should be disabled,Compliance
Auto Scaling,Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),Compliance
Auto Scaling,EC2 auto scaling groups should use multiple instance types in multiple availability zones,Compliance
,,
Backup,Backup plan min frequency and min retention check,Compliance
Backup,Backup plan should exist in a region,Compliance
Backup,Backup recovery points should be encrypted,Compliance
Backup,Backup recovery points manual deletion should be disabled,Compliance
Backup,Backup recovery points should not expire before retention period,Compliance
Backup,Backup report plan should exist in a region where backup plan is enabled,Compliance
Backup,Backup vaults should exist in a region,Compliance
,,
CloudFormation,CloudFormation stacks differ from the expected configuration,Compliance
CloudFormation,CloudFormation stacks should have notifications enabled,Compliance
CloudFormation,CloudFormation stacks outputs should not have any secrets,Compliance
CloudFormation,CloudFormation stacks should have rollback enabled,Compliance
CloudFormation,Cloudformation stacks termination protection should be enabled,Compliance
,,
CloudFront,CloudFront distributions should have origin failover configured,Compliance
CloudFront,CloudFront distributions should encrypt traffic to custom origins,Compliance
CloudFront,CloudFront distributions should have a default root object configured,Compliance
CloudFront,CloudFront distributions should require encryption in transit,Compliance
CloudFront,CloudFront distributions should have field level encryption enabled,Compliance
CloudFront,CloudFront distributions should have geo restriction enabled,Compliance
CloudFront,CloudFront distributions should have latest TLS version,Compliance
CloudFront,CloudFront distributions access logs should be enabled,Compliance
CloudFront,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins,Compliance
CloudFront,CloudFront distributions should not point to non-existent S3 origins,Compliance
CloudFront,CloudFront distributions should encrypt traffic to non S3 origins,Compliance
CloudFront,CloudFront distributions should have origin access identity enabled,Compliance
CloudFront,CloudFront distributions should use SNI to serve HTTPS requests,Compliance
CloudFront,CloudFront distributions should use custom SSL/TLS certificates,Compliance
CloudFront,CloudFront distributions should use secure SSL cipher,Compliance
CloudFront,CloudFront distributions should have AWS WAF enabled,Compliance
,,
CloudTrail,Ensure the S3 bucket CloudTrail logs to is not publicly accessible,Compliance
CloudTrail,CloudTrail trails should be enabled in all regions,Compliance
CloudTrail,At least one multi-region AWS CloudTrail should be present in an account,Compliance
CloudTrail,CloudTrail multi region trails should be integrated with CloudWatch logs,Compliance
CloudTrail,All S3 buckets should log S3 data events in CloudTrail,Compliance
CloudTrail,Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,Compliance
CloudTrail,Ensure that Object-level logging for read events is enabled for S3 bucket,Compliance
CloudTrail,Ensure that Object-level logging for write events is enabled for S3 bucket,Compliance
CloudTrail,At least one trail should be enabled with security best practices,Compliance
CloudTrail,CloudTrail trail S3 buckets MFA delete should be enabled,Compliance
CloudTrail,At least one enabled trail should be present in a region,Compliance
CloudTrail,At least one CloudTrail trail should be enabled in the AWS account,Compliance
CloudTrail,CloudTrail trails should have insight selectors and logging enabled,Compliance
CloudTrail,CloudTrail trails should be integrated with CloudWatch logs,Compliance
CloudTrail,CloudTrail trail logs should be encrypted with KMS CMK,Compliance
CloudTrail,CloudTrail trail log file validation should be enabled,Compliance
,,
CloudWatch,CloudWatch alarm should have an action configured,Compliance
CloudWatch,CloudWatch alarm action should be enabled,Compliance
CloudWatch,CloudWatch should not allow cross-account sharing,Compliance
CloudWatch,Log group retention period should be at least 365 days,Compliance
CloudWatch,Log group encryption at rest should be enabled,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for S3 bucket policy changes,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for CloudTrail configuration changes,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for AWS Config configuration changes,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for AWS Management Console sign-in without MFA,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer managed keys,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for IAM policy changes,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),Compliance
CloudWatch,Ensure a log metric filter and alarm exist for changes to network gateways,Compliance
CloudWatch,Ensure AWS Organizations changes are monitored,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for usage of 'root' account,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for route table changes,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for security group changes,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for unauthorized API calls,Compliance
CloudWatch,Ensure a log metric filter and alarm exist for VPC changes,Compliance
,,
CodeBuild,CodeBuild project artifact encryption should be enabled,Compliance
CodeBuild,CodeBuild projects should not be unused for 90 days or greater,Compliance
CodeBuild,CodeBuild project environments should not have privileged mode enabled,Compliance
CodeBuild,CodeBuild projects should have logging enabled,Compliance
CodeBuild,CodeBuild project plaintext environment variables should not contain sensitive AWS values,Compliance
CodeBuild,CodeBuild project S3 logs should be encrypted,Compliance
CodeBuild,CodeBuild GitHub or Bitbucket source repository URLs should use OAuth,Compliance
CodeBuild,CodeBuild projects should not use an user controlled buildspec,Compliance
,,Compliance
CodeDeploy,Codedeploy deployment groups lambda allatonce traffic shift should be disabled,Compliance
,,
DAX,DynamoDB Accelerator (DAX) clusters should be encrypted at rest,Compliance
DAX,Directory Service,Compliance
DAX,Directory Service certificates should not expire within 90 days,Compliance
DAX,Directory Service directories manual snapshots limit should not be less than 2,Compliance
DAX,Directory Service directories should have SNS notification enabled,Compliance
,,
DLM,DLM EBS snapshot lifecycle policy should be enabled,Compliance
,,
DMS,Ensure that all the expired DMS certificates are removed,Compliance
DMS,DMS endpoints should use SSL,Compliance
DMS,DMS replication instances should have automatic minor version upgrade enabled,Compliance
DMS,DMS replication instances should not be publicly accessible,Compliance
DMS,DMS replication tasks for the source database should have logging enabled,Compliance
DMS,DMS replication tasks for the target database should have logging enabled,Compliance
,,
DocumentDB,AWS DocumentDB clusters should have an adequate backup retention period,Compliance
DocumentDB,DocumentDB clusters should have deletion protection enabled,Compliance
DocumentDB,AWS DocumentDB clusters should be encrypted at rest,Compliance
DocumentDB,DocumentDB instance should be encrypted at rest,Compliance
DocumentDB,DocumentDB instance logging should be enabled,Compliance
DocumentDB,Amazon DocumentDB manual cluster snapshots should not be public,Compliance
,,
DRS,DRS jobs should be enabled,Compliance
,,
Config,Config configuration recorder should not fail to deliver logs,Compliance
Config,AWS Config should be enabled,Compliance
,,
EMR,EMR public access should be blocked at account level,Compliance
EMR,EMR clusters encryption at rest should be enabled,Compliance
EMR,EMR clusters client side encryption (CSE CMK) enabled with CMK,Compliance
EMR,EMR clusters server side encryption (SSE KMS) enabled with KMS,Compliance
EMR,EMR clusters encryption in transit should be enabled,Compliance
EMR,EMR cluster Kerberos should be enabled,Compliance
EMR,EMR cluster local disks should be encrypted with CMK,Compliance
EMR,EMR clusters local disk encryption should be enabled,Compliance
EMR,EMR cluster master nodes should not have public IP addresses,Compliance
EMR,EMR clusters should have security configuration enabled,Compliance
,,
Elasticsearch,Elasticsearch domains should have audit logging enabled,Compliance
Elasticsearch,Elasticsearch domains should have cognito authentication enabled,Compliance
Elasticsearch,Elasticsearch domains should have at least three data nodes,Compliance
Elasticsearch,Elasticsearch domains should be configured with at least three dedicated master nodes,Compliance
Elasticsearch,Connections to Elasticsearch domains should be encrypted using TLS 1.2,Compliance
Elasticsearch,ES domain encryption at rest should be enabled,Compliance
Elasticsearch,Elasticsearch domain error logging to CloudWatch Logs should be enabled,Compliance
Elasticsearch,ES domains should be in a VPC,Compliance
Elasticsearch,Elasticsearch domains should have internal user database enabled,Compliance
Elasticsearch,Elasticsearch domain should send logs to CloudWatch,Compliance
Elasticsearch,Elasticsearch domain node-to-node encryption should be enabled,
,,Compliance
EventBridge,EventBridge custom event buses should have a resource-based policy attached,
,,Compliance
FSx,FSx for OpenZFS file systems should be configured to copy tags to backups and volumes,Compliance
FSx,FSx file system should be protected by backup plan,Compliance
,,
Glacier,Glacier vault should restrict public access,Compliance
,,
Glue,Glue connection SSL should be enabled,Compliance
Glue,Glue data catalog metadata encryption should be enabled,Compliance
Glue,Glue data catalog connection password encryption should be enabled,Compliance
Glue,Glue dev endpoints CloudWatch logs encryption should be enabled,Compliance
Glue,Glue dev endpoints job bookmark encryption should be enabled,Compliance
Glue,Glue dev endpoints S3 encryption should be enabled,Compliance
Glue,Glue jobs bookmarks encryption should be enabled,Compliance
Glue,Glue jobs CloudWatch logs encryption should be enabled,Compliance
Glue,Glue jobs S3 encryption should be enabled,Compliance
,,
GuardDuty,GuardDuty Detector should be centrally configured,Compliance
GuardDuty,GuardDuty should be enabled,Compliance
GuardDuty,GuardDuty findings should be archived,Compliance
GuardDuty,GuardDuty Detector should not have high severity findings,Compliance
,,
Kinesis,Kinesis firehose delivery streams should have server side encryption enabled,Compliance
Kinesis,Kinesis streams should be encrypted with CMK,Compliance
Kinesis,Kinesis streams should have server side encryption enabled,Compliance
,,
KMS,KMS CMK policies should prohibit public access,Compliance
KMS,KMS CMK rotation should be enabled,Compliance
KMS,KMS key should be in use,Compliance
KMS,KMS key decryption should be restricted in IAM customer managed policy,Compliance
KMS,KMS key decryption should be restricted in IAM inline policy,Compliance
KMS,KMS keys should not be pending deletion,Compliance
,,
Lambda,Lambda functions CloudTrail logging should be enabled,Compliance
Lambda,Ensure Cloudwatch Lambda insights is enabled,Compliance
Lambda,Lambda functions concurrent execution limit configured,Compliance
Lambda,Lambda functions CORS configuration should not allow all origins,Compliance
